target,number_of_steps,sascore,scscore,syba,MolWt,MolLogP,NumHAccept,NumHDonors
O=C(Nc1n[nH]c(-c2ccco2)n1)c1cccc(Cl)c1Cl,1,2.3618420819706305,3.8336833490098,112.40235458004328,323.139,3.623800000000001,4,2
CCOC(=O)NCc1ccccc1OC(F)(F)F,1,1.9459121292886188,2.710003572571885,95.03289880567098,263.215,2.831300000000001,3,1
NCCc1ccc(CN2CCCSCC2)cc1,2,2.0506367356867106,3.480983549221236,49.47458429686646,250.411,2.1267,3,1
O=C(CN1N=C(c2ccccc2)CCC1=O)NCc1ccco1,10,2.2877985559818708,3.5316943372681173,108.89899969998277,311.341,1.9225,4,1
O=C(CCCCl)Nc1ccc(CCO)cc1,1,1.7698807830406391,2.378185078093048,104.6456831046683,241.718,2.1789000000000005,2,2
NC(=O)CCCNC(=O)c1ccccc1Br,1,1.7493554683553256,2.250625977871162,112.63946784322624,285.141,1.444399999999999,2,2
CS(=O)(=O)Nc1ccccc1C(=O)OCc1ccc(C#N)cc1,1,1.915490494127681,2.391161539491486,131.75815029153526,330.36500000000007,2.2867800000000003,5,1
Cc1nn(C)c(C)c1/C=C/C(=O)NNC(=O)c1ccc(OC(C)C)cc1,4,2.292770334534083,4.020074393862302,150.27088186388042,356.4260000000001,2.29854,5,2
CCNC(=O)c1ccc(N)cc1NCc1ccncc1,5,2.026599196201154,3.39598807076948,95.82393855827358,270.336,2.0256,4,3
CCCCc1ccc(NC(=O)C2CN(C(=O)c3ccc4c(c3)OCO4)C2)cc1,3,2.046549467739585,4.230361266736878,187.80971558662668,380.4440000000001,3.468600000000002,4,1
CC(C)c1ccccc1NC(=O)CSc1cc(C#N)ccn1,1,2.17426405197584,3.2035266305760315,148.01791595234965,311.41,3.8074800000000018,4,1
COc1ccccc1NC(=O)c1ccc2[nH]c(C)c(C)c2c1,1,1.8197779477574765,3.2500508268772417,145.7393388485681,294.35400000000004,4.045640000000002,2,2
Cc1c(NC(=O)/C=C/c2ccc(Cl)cc2)cccc1NC(=O)C1CC1,1,1.928516950462356,3.2053842879223886,150.48620976868744,354.83700000000016,4.648820000000003,2,2
Cc1ccc(N)c(C(=O)NCCCN)c1,1,1.8690824621435045,2.561898057873877,41.045946459526256,207.277,0.6558200000000002,3,3
O=c1cc(-c2ccccc2)oc2c1ccc1ccccc12,1,1.867507144005371,2.8235177758486287,64.75639643679276,272.303,4.613200000000003,2,0
CC(C)Oc1cccc(/C=C/C(=O)N2CCN(c3ncccc3F)CC2)c1,1,2.2776022855143445,3.878402206649125,161.16104205304336,369.44000000000005,3.369900000000002,4,0
Cc1ccc(S(=O)(=O)N2CCC(C(=O)N3CCCCCCC3)CC2)cc1C,1,2.0109028849149446,3.6873426237791898,176.27789743831786,392.5650000000003,3.4968400000000024,3,0
COc1ccc(CNCCSc2ccccc2)cn1,1,1.9787385039640768,2.867835369877923,102.19829975269788,274.389,2.972100000000001,4,1
COC(=O)CCC(=O)OCC(=O)c1ccc(NC(=O)c2ccccc2)cc1,3,1.7876609820809364,2.581617925642248,171.63021905296114,369.3730000000001,2.6180000000000003,6,1
Cn1nnnc1SCC(=O)Nc1ccccn1,1,2.108887617947307,2.92122215276126,105.68065038928262,250.287,0.3358999999999995,7,1
